
0	2024-06-21 18:05:43.718272
0	2024-06-21 18:05:58.659004
20	2024-06-21 18:48:24.599785
0	2024-06-21 19:33:27.368189
0	2024-06-21 20:11:45.654351
0	2024-06-21 20:20:13.988861
0	2024-06-21 20:20:59.384526
0	2024-06-21 20:21:22.034467
70	2024-06-21 20:22:41.241437
0	2024-06-21 20:28:27.784482
0	2024-06-21 20:37:06.356249
0	2024-06-21 20:37:15.987318
0	2024-06-21 20:43:07.352407
0	2024-06-21 20:50:05.585126
0	2024-06-21 20:50:58.744178
0	2024-06-21 20:51:17.499310
0	2024-06-21 21:18:29.231023
0	2024-06-21 21:18:38.672201
30	2024-06-22 09:55:13.188009
0	2024-06-22 09:56:53.862643
0	2024-06-22 10:03:37.743099
10	2024-06-22 10:58:23.852688
10	2024-06-22 11:00:05.222722
0	2024-06-22 11:15:56.319764
0	2024-06-22 11:21:28.093934
0	2024-06-22 11:24:10.106822
0	2024-06-22 11:24:49.918778
0	2024-06-22 11:44:26.275401
0	2024-06-22 11:44:32.624093
0	2024-06-22 11:44:43.348867
0	2024-06-22 11:49:52.086283
0	2024-06-22 11:50:03.327912
0	2024-06-22 16:38:41.750096
0	2024-06-22 16:39:40.115712
0	2024-06-22 16:50:16.226509
0	2024-06-22 16:51:21.121969
20	2024-06-27 22:06:47.504547
0	2024-06-28 12:04:01.433200
0	2024-06-28 12:06:32.970597
0	2024-06-28 12:06:44.705984
0	2024-06-28 12:14:21.478415
0	2024-06-28 12:22:06.958109
0	2024-06-28 12:22:30.753358
20	2024-06-28 12:28:11.063166
0	2024-06-28 12:29:16.490974
0	2024-06-28 12:30:33.234144
10	2024-06-28 12:31:07.820738
0	2024-06-28 12:32:07.631517
20	2024-06-28 12:34:40.625621
10	2024-06-28 12:35:34.298598
30	2024-06-28 12:39:29.832167
20	2024-06-28 14:45:21.308613
0	2024-06-28 15:24:48.820480
10	2024-06-28 15:25:58.560640
90	2024-06-28 15:27:01.449373
0	2024-06-28 15:33:17.219650
10	2024-06-28 15:38:25.631362
10	2024-06-28 15:56:43.483745
0	2024-06-28 15:57:51.046432
0	2024-07-28 21:39:36.413376
10	2024-07-28 21:39:48.394698
0	2024-07-28 21:41:16.607126
